Introduction to Algorithms,intro_to_algo.jpeg,"Why we write Algorithm? Who writes Algorithm? When Algorithms are written? Differences between Algorithms and Programs",eng,YouTube,https://www.youtube.com/playlist?list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O,"video"
Тренировки по алгоритмам,yandex_algo_1.jpeg,"Приглашаем вас потренироваться в решении алгоритмических задач. 8 лекций с домашними заданиями и 4 разбора заданий. Лектор - Михаил Густокашин, Директор центра студенческих олимпиад ФКН ВШЭ, преподаватель алгоритмов и структур данных на ФКН ВШЭ, тренер медалистов ICPC.",rus,YouTube,https://www.youtube.com/playlist?list=PL6Wui14DvQPySdPv5NUqV3i8sDbHkCKC5,"video"
"Competitive Programmer’s Handbook",book_cover.png,"Competitive Programmer’s Handbook",eng,Textbook,"book.pdf","pdf"
Leet Code,leetCode_logo.png,"LeetCode is the best platform to help you enhance your skills, expand your knowledge and prepare for technical interviews.",eng,Platform,https://leetcode.com,"platform"
Project Euler,ProjectEuler_logo.png,"Project Euler is a series of challenging mathematical/computer programming problems that will require more than just mathematical insights to solve. Although mathematics will help you arrive at elegant and efficient methods, the use of a computer and programming skills will be required to solve most problems.",eng,Platform,https://projecteuler.net,"platform"
Bestprog,bestprog.png,"По задумке это была коллекция моих заметок на различные темы, которые казались мне важными для участия в белорусских олимпиадах, и я не был уверен, насколько полезными они окажутся для сообщества. Оказалось, что определённый интерес есть, и сайт нуждается в поддержке. Я уже очень много раз это откладывал, но пора всё-таки приступить к делу :smile:. Пройдёмся вкратце по разным изменениям в новой версии.",rus,Article,"https://brestprog.by/topics/","article"
