Networking Tutorial,ben_networks.jpeg, "We start our exploration of computer networking with the basics of sending digital information with a copper wire.", eng, YouTube, https://www.youtube.com/playlist?list=PLowKtXNTBypH19whXTVoG3oKSuOcw_XeW,"video"
Introduction to Computer Networks,eli_networks.jpeg, "Channel has playlist of varity of topics in Computer Science including Introduction to Computer Networks", eng, YouTube, https://www.youtube.com/playlist?list=PLJcaPjxegjBW3oTHL02TjEw0d6nvFK_cF,"video"
Computer Networking: a Top-Down Approach,jim_kurose.jpeg,"Video presentation: Computer Networks and the Internet.  Introduction. What is the Internet - a nuts-and-bolts description.  A services description.  What is a protocol? Computer networks class. Jim Kurose", eng, YouTube, https://www.youtube.com/playlist?list=PLm556dMNleHc1MWN5BX9B2XkwkNE2Djiu,"video"
"Computer Networking _ A Top Down Approach","Computer Networking _ A Top Down Approach, 7th, converted_cover.png","Computer Networking _ A Top Down Approach, 7th edition Textbook",eng,Textbook,"Computer Networking _ A Top Down Approach, 7th, converted.pdf","pdf"
