Школьный курс физики. Павел Виктор,pavel-viktor.jpg,"... здесь записи всех уроков физики, от 7 до 11 класса, проведенных с 2014 по 2020 год создателем канала. Их свыше 700, они охватывают как курс основной, так и курс старшей школы.",rus,YouTube,https://www.youtube.com/playlist?list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y
Classical Mechanics. Walter Lewin,walterlewin.jpeg,"This channel contains the complete 8.01x (Physics I: Classical Mechanics), 8.02x (Physics II: Electricity and Magnetism) and 8.03 (Physics III: Vibrations and Waves) lectures as presented by Walter Lewin in the fall of 1999, spring of 2002 and fall of 2004.",eng,YouTube,https://www.youtube.com/@lecturesbywalterlewin.they9259
